epoch,train_loss,train_od_loss,train_dc_loss,train_sc_loss,train_label_loss,train_box_loss,val_loss,val_od_loss,val_dc_loss,val_sc_loss,val_label_loss,val_box_loss,val_sc_cube_joint_acc,val_sc_cube_sten_acc,val_sc_cube_plaq_acc,val_sc_vessel_sten_acc,val_sten_per_class_acc,val_plaq_per_class_acc,val_od_acc
41,3.18004315862649,1.3867977494518409,1.413180515912286,0.38006489445140657,0.8943086786150706,0.49248906957264466,6.873142383926346,2.1854686033124384,3.3339082055700286,1.3537655831798248,1.7044356283165227,0.4810329736030774,0.8404531946508172,0.8641809063893017,0.862555720653789,0.6835066864784547,"[0.9722476539253834, 0.4090182283338663, 0.3654876741693462]","[0.9722476539253834, 0.053347280334728034, 0.5657894736842105, 0.33811475409836067]",0.5646359583952452
42,3.1255074981246525,1.3275398427984246,1.4256927508755675,0.37227490480370373,0.8529734835255559,0.4745663590887088,6.719707728139724,2.2331612095988467,3.150436919945284,1.3361096035479085,1.6750065969076637,0.5581546138850447,0.8427284546805349,0.8675705794947994,0.862369985141159,0.6537890044576523,"[0.9742504005493248, 0.5001598976654941, 0.1007502679528403]","[0.9742504005493248, 0.0010460251046025104, 0.581296992481203, 0.3155737704918033]",0.6448736998514116
43,3.12132314830238,1.3314562315304332,1.417809637143446,0.37205728388106646,0.8521303133548586,0.47932591777568484,6.830499175040588,2.170269156068298,3.311665539217986,1.3485644698496742,1.6935553529496008,0.4767138037377366,0.8481612184249628,0.8687778603268945,0.8668740713224369,0.6909361069836553,"[0.9768253604943923, 0.4448353054045411, 0.2658092175777063]","[0.9768253604943923, 0.08263598326359832, 0.48778195488721804, 0.492827868852459]",0.6106983655274889
44,3.0939124397993334,1.320660384968454,1.4101132947679036,0.3631387622166133,0.8345935775702706,0.48606680660234963,6.800672654228324,2.2112102894117993,3.2491965208987454,1.340265829768308,1.6721067998105057,0.5391034877883928,0.84375,0.8673848439821694,0.8632986627043091,0.6656760772659732,"[0.9740215152208743, 0.4595458906299968, 0.23687031082529475]","[0.9740215152208743, 0.006276150627615063, 0.5460526315789473, 0.41188524590163933]",0.6433878157503715
45,3.0914620837563547,1.2822138144806328,1.4571267435499247,0.3521215249510106,0.7975965949636358,0.4846172195327821,6.700252234405156,2.1667032790113274,3.197762081814095,1.3357868668587343,1.6584550924046457,0.5082481891712732,0.8478361812778603,0.8698922734026746,0.8666419019316494,0.6835066864784547,"[0.9777409018081941, 0.46594179724976015, 0.20364415862808147]","[0.9777409018081941, 0.02615062761506276, 0.506578947368421, 0.48565573770491804]",0.6597325408618128
46,3.048012030792745,1.276305930661081,1.4201966798182954,0.35150941513991113,0.7879305065377907,0.4883754250388277,6.837327236945268,2.195450963181629,3.297542272760182,1.3443339716433065,1.6659790779787285,0.5294718857777225,0.8422641158989599,0.8661311292719168,0.8624164190193165,0.6939078751857355,"[0.967441062027924, 0.47585545251039335, 0.2765273311897106]","[0.967441062027924, 0.07322175732217573, 0.5573308270676691, 0.42008196721311475]",0.6716196136701337
47,3.0271559899585636,1.2456298681046953,1.4369985839450474,0.34452753688644616,0.7643786859753728,0.4812511803350795,6.711269811635908,2.1796130840431687,3.195093713811314,1.336563024039792,1.6569353356205745,0.522677751473574,0.8440750371471025,0.8671526745913819,0.8641344725111442,0.6537890044576523,"[0.9770542458228427, 0.47297729453149984, 0.12968917470525188]","[0.9770542458228427, 0.011506276150627616, 0.4417293233082707, 0.5983606557377049]",0.6523031203566122
48,3.0104045182819044,1.2321126076956248,1.4375523832141432,0.34073952990683865,0.7553816138940759,0.4767309924940142,6.738151152692846,2.1762576329601977,3.2300441413675642,1.3318493769501367,1.6792585213035787,0.4969991055546599,0.8466753343239227,0.868174219910847,0.8651560178306092,0.674591381872214,"[0.9831197070267795, 0.4131755676367125, 0.24008574490889603]","[0.9831197070267795, 0.012552301255230125, 0.45723684210526316, 0.4774590163934426]",0.6196136701337296
49,3.0170259733448117,1.241562052392348,1.4422991681568331,0.33316475016867847,0.7588829949890435,0.4826790572270372,6.836340410419317,2.180648698297382,3.3081519122647247,1.3475397980885264,1.6959031615129918,0.4847455368064985,0.8373421248142645,0.861905646359584,0.8612091381872214,0.6731054977711739,"[0.9682993820096132, 0.41509433962264153, 0.3665594855305466]","[0.9682993820096132, 0.06380753138075314, 0.4675751879699248, 0.5829918032786885]",0.6404160475482912
50,3.0036454666515158,1.2209352458697906,1.453947906284578,0.3287623102641227,0.7409248970977392,0.48001034935610104,6.643185687701851,2.180450587668829,3.1317054114638876,1.3310296641612973,1.6661361250750035,0.5143144673250549,0.8452823179791976,0.8658060921248143,0.8644130757800892,0.6552748885586924,"[0.9846646829938202, 0.412216181643748, 0.15969989281886388]","[0.9846646829938202, 0.01778242677824268, 0.45864661654135336, 0.42520491803278687]",0.6612184249628529
51,2.966231097470676,1.198968384932352,1.4467482250129404,0.3205144856733106,0.7291882686692697,0.46978011598947356,6.7581471915768585,2.174731590627563,3.2416970680304735,1.341718548836977,1.6743280884066392,0.5004034999658517,0.8427748885586924,0.8671062407132244,0.8624164190193165,0.6849925705794948,"[0.971274891279469, 0.4723377038695235, 0.2390139335476956]","[0.971274891279469, 0.04288702928870293, 0.5441729323308271, 0.4098360655737705]",0.6552748885586924
52,2.986197290332845,1.1967586544337727,1.4714984035135632,0.3179402346103349,0.7263378663546934,0.47042078780547036,6.787164733388657,2.211900879084533,3.240198806768355,1.3350650379848763,1.6811966945580277,0.530704189699906,0.843842867756315,0.867802748885587,0.8622306835066865,0.674591381872214,"[0.9757381551842527, 0.4585865046370323, 0.21757770632368703]","[0.9757381551842527, 0.008368200836820083, 0.49201127819548873, 0.4733606557377049]",0.6760772659732541
53,2.9462433231778062,1.1872797820944423,1.4471005052023507,0.31186303774148466,0.7105160986074389,0.47676368291873883,6.840920660545281,2.1994228065898227,3.3028324032395813,1.3386654602667698,1.656471306916868,0.5429514969536035,0.8404067607726597,0.8639023031203567,0.8630664933135216,0.6523031203566122,"[0.9735637445639734, 0.3984649824112568, 0.36977491961414793]","[0.9735637445639734, 0.02301255230125523, 0.5009398496240601, 0.4969262295081967]",0.6582466567607727
54,2.9478348238294143,1.175409282376912,1.468139145436805,0.3042863983207566,0.6941772673607758,0.4812320145820452,6.864862093939625,2.1682955826071675,3.3537186076450065,1.3428478997963473,1.6849789994406772,0.4833165801818364,0.8405924962852898,0.8644595096582467,0.8617663447251115,0.6953937592867756,"[0.9724193179217212, 0.4400383754397186, 0.2647374062165059]","[0.9724193179217212, 0.07217573221757322, 0.4783834586466165, 0.48975409836065575]",0.6106983655274889
55,2.928954948270368,1.1629694011346152,1.4671181357627707,0.29886741064641387,0.6890819402811105,0.4738874618085049,6.832408745140279,2.1690513075989855,3.3185577420877066,1.3447996950998504,1.6544360442402102,0.5146152667192748,0.8408710995542348,0.8665026002971769,0.8610234026745914,0.6953937592867756,"[0.9657244220645457, 0.49536296770067156, 0.25187566988210075]","[0.9657244220645457, 0.07635983263598327, 0.5042293233082706, 0.5327868852459017]",0.6641901931649331
56,2.913852395285787,1.1586264305168592,1.458100255915331,0.2971257081027203,0.6854327759052367,0.4731936570819951,6.851887891129853,2.1665285005060078,3.339368237939716,1.3459911650649163,1.6726846104205892,0.4938438835412883,0.8396638187221397,0.8640416047548292,0.8608841010401189,0.6775631500742942,"[0.9688143739986267, 0.47073872721458265, 0.21972132904608788]","[0.9688143739986267, 0.07217573221757322, 0.5112781954887218, 0.46311475409836067]",0.6671619613670133
57,2.8898946827886727,1.146861240349495,1.4505575383346814,0.29247590435111204,0.6828211435160771,0.46404009749639336,6.837266044729895,2.166435193237282,3.325054985125624,1.3457758854687745,1.6799625642929303,0.4864726287453748,0.8379921991084696,0.862277117384844,0.8585624071322436,0.6731054977711739,"[0.9658960860608835, 0.45922609529900865, 0.2722400857449089]","[0.9658960860608835, 0.06276150627615062, 0.5465225563909775, 0.39651639344262296]",0.6523031203566122
58,2.791291661887984,1.1133184975102963,1.3899879731729976,0.2879851919317247,0.6458505305682954,0.46746796667628454,6.7444141385109555,2.1746706849389685,3.2361503213378726,1.3335931506284266,1.6793921050402814,0.49527857636131944,0.84319279346211,0.8652488855869243,0.8626485884101041,0.6582466567607727,"[0.9807164110780499, 0.3843939878477774, 0.3140407288317256]","[0.9807164110780499, 0.008368200836820083, 0.49107142857142855, 0.39549180327868855]",0.6315007429420505
59,2.7926121439400897,1.1095423281925239,1.4019075265863017,0.2811622875044102,0.6455998054490911,0.4639425240351824,6.8411792208957385,2.1527049244334506,3.3389007797580796,1.3495735181191555,1.675440544898149,0.47726437807613736,0.8375278603268945,0.8629271916790491,0.8584231054977711,0.6864784546805349,"[0.9659533073929961, 0.4720179085385353, 0.2433011789924973]","[0.9659533073929961, 0.08368200836820083, 0.5592105263157895, 0.3442622950819672]",0.6641901931649331
60,2.779600157625575,1.1071447654316933,1.3958546310892612,0.2766007629239978,0.6511327046711677,0.4560120602080462,6.839870464200436,2.1705806124457974,3.332973185208148,1.3363166750361728,1.6972221072420521,0.4733585071935144,0.8436106983655275,0.8648774145616642,0.8628343239227341,0.6523031203566122,"[0.9787136644541085, 0.4269267668692037, 0.20042872454448016]","[0.9787136644541085, 0.021966527196652718, 0.47368421052631576, 0.4600409836065574]",0.586924219910847
